news_id,news_body
1,近日，上海的网友分享了一则“有趣”的视频，视频中，一名男子地铁站台上低头玩着手机，过了一会儿，男子很自然地向其身旁的“老婆”贴近，结果旁边的“老婆”吓了一跳，赶紧往后一躲，男子发觉不对劲后抬头一看才发现，原来对方不是自己的老婆。随后，男子赶紧往自家老婆的方向跑来。拍摄者陈女士称，当时她和老公出门办事，下电梯的时候老公还在身旁，等地铁的时候就发现人不见了，左看右看才发现他低着头玩手机，跟在一个和自己衣服很像的女生后面。老公发现不对后赶紧跑过来了，表情非常尴尬，而女生也有点生气。因为这种事经常发生，所以自己并没有生气，反而觉得有点好玩。对此网友们纷纷热议：“人家以为爱情悄悄来了，心中正暗自窃喜，谁知你给人希望又瞬间让人跌入谷底，岂能不生气？”“当年在泰国景点，人多跟老婆挤散了，有个老铁也是这样，老铁突然拉着我的手向前走！过了五六秒转过头看到是我，吓了一跳。我老婆和他老婆在旁边笑死了。”“这位老公还算好的呢，我老公是直接袭了别的女人的胸，差点被当色鬼报警，而且我和我女儿全程看在眼里，都给整懵了。事后他说，都是因为我说话惹怒他了，他本想用他的三角尺撞我，然后认错人，搞错了。大无语啊！”不得不说，公共场所认错人确实是太尴尬了，所以提醒大家在外一定要多长几个心眼，这是认错了老婆，要是老婆被人认错牵走了，那才好玩呢。不过呢，还是要批评一下这个男的，既然发生了误会，也惹得别人不开心，当下应该给对方说声抱歉或者对不起，这是最基本的礼貌。大家说呢？
2,据消息人士透露，中美双方在16日元首视频会晤前，就媒体问题达成三项共识：双方相互保障现任常驻记者在遵守防疫规定前提下可以正常往返对方国家。美方承诺为中国记者颁发一年多次入境签证，并将立即启动国内程序解决中国记者签证停留期问题。中方则将本着对等原则，在美方政策措施到位后，给予美国驻华媒体记者同等的签证和停留期待遇。双方将依法依规对等审批新任常驻记者签证。长期以来，中国驻美记者持有的都只是一次有效入境签证，非常不方便，有的记者甚至回国开会、探亲就很难再回到驻美工作岗位。此次双方就彼此媒体在对方国家待遇问题进行了一年多艰苦的磋商，有斗争也有合作，可谓“不打不相识”，取得目前三点共识非常不容易，这对双方记者来说都是利好消息，也从一个侧面体现了当前中美对等、平视的新常态。只要双方本着相互尊重、平等互惠的精神，心平气和地沟通，是能够做成一些互利互惠的事情的。希望中美合作为两国媒体带来更多好消息。来源：央视新闻
3,中国人民银行定于2021年11月18日发行2022中国壬寅（虎）年金银纪念币一套。该套金银纪念币共13枚，其中金质纪念币8枚，银质纪念币5枚，均为中华人民共和国法定货币。一、纪念币图案（一）正面图案。该套金银纪念币正面图案均为中华人民共和国国徽，衬以中国传统吉祥纹饰，并刊国名、年号。（二）背面图案。背面图案共13幅，均刊“壬寅”字样及面额。其中：10公斤圆形金质纪念币、2公斤圆形金质纪念币和1公斤圆形银质纪念币背面图案均为写实风格母子虎造型，衬以远山等设计元素。1公斤梅花形金质纪念币和30克梅花形银质纪念币背面图案均为装饰风格虎造型，衬以装饰纹样。500克圆形金质纪念币和15克梅花形金质纪念币背面图案均为由线条、图案构成的装饰老虎造型。150克长方形金质纪念币和30克扇形银质纪念币背面图案均为行走中的虎与特写虎头造型，衬以树木、山水等设计元素。10克扇形金质纪念币背面图案为民俗布老虎造型，衬以吉祥花卉装饰图案。3克圆形金质纪念币和15克圆形银质纪念币（彩色）背面图案均为卡通风格小虎造型，衬以吉祥花卉等装饰。150克长方形银质纪念币（彩色）背面图案为蹲坐的幼虎造型，衬以树林、远山等设计元素。二、纪念币规格和发行量（一）10公斤圆形金质纪念币为精制币，含纯金10公斤，直径180毫米，面额100000元，成色99.9%，最大发行量18枚。（二）2公斤圆形金质纪念币为精制币，含纯金2公斤，直径110毫米，面额20000元，成色99.9%，最大发行量50枚。（三）1公斤梅花形金质纪念币为精制币，含纯金1公斤，外接圆直径100毫米，面额10000元，成色99.9%，最大发行量118枚。（四）500克圆形金质纪念币为精制币，含纯金500克，直径80毫米，面额5000元，成色99.9%，最大发行量500枚。（五）150克长方形金质纪念币为精制币，含纯金150克，规格64毫米×40毫米，面额2000元，成色99.9%，最大发行量600枚。（六）15克梅花形金质纪念币为精制币，含纯金15克，外接圆直径27毫米，面额200元，成色99.9%，最大发行量6000枚。（七）10克扇形金质纪念币为精制币，含纯金10克，外圆半径51毫米，内圆半径36毫米，圆心角30度，面额150元，成色99.9%，最大发行量10000枚。（八）3克圆形金质纪念币为精制币，含纯金3克，直径18毫米，面额50元，成色99.9%，最大发行量150000枚。（九）1公斤圆形银质纪念币为精制币，含纯银1公斤，直径100毫米，面额300元，成色99.9%，最大发行量5000枚。（十）150克长方形银质纪念币为精制币，含纯银150克，规格80毫米×50毫米，面额50元，成色99.9%，最大发行量5000枚。（十一）30克梅花形银质纪念币为精制币，含纯银30克，外接圆直径40毫米，面额10元，成色99.9%，最大发行量50000枚。（十二）30克扇形银质纪念币为精制币，含纯银30克，外圆半径85毫米，内圆半径60毫米，圆心角30度，面额10元，成色99.9%，最大发行量30000枚。（十三）15克圆形银质纪念币为精制币，含纯银15克，直径33毫米，面额5元，成色99.9%，最大发行量300000枚。三、该套金银纪念币分别由沈阳造币有限公司、上海造币有限公司和深圳国宝造币有限公司铸造，中国金币总公司总经销。销售渠道详见中国金币网（www.chngc.net/qd）。尽在沈阳晚报视频号，欢迎关注来源：中国人民银行编辑：任子剑 责编：闫继伟 高薇
4,离职后在网上评价前东家，给其他“打工人”提供求职经验已成为常见的信息交流方式，但因为发帖“吐槽”工作“坎坷”被前老板告上法庭，你遇到过么？
5,大衣哥的媳妇隔一段时间就会上一次热搜，虽然不是什么明星，但是由于很多人都去拍大衣哥的各种视频，所以在短视频时代，大衣哥的流量还是很大的，要不然也不会有人天天在他们家拍他了。自从陈亚男结婚以后，各种不看好他们的消息就接踵而来，但是小两口一直也不错，从发布的视频上面也可以看出来，两个人的互动也挺好的，看起来是很恩爱的！另外双方的账号在结婚之后也成为了粉丝百万，开始进行带货直播了。
6,"来源：中国证券报 崔小粟比亚迪日前发布消息称,在第26届联合国气候变化大会上,其与相关政府、企业和其他组织代表共同发表了关于加速向零排放汽车和货车转型的宣言,目标是在2040年或之前实现零排放汽车和货车的销售占比达到100%。此外,近期包括本田等在内的多家全球车企巨头纷纷发布停产燃油车时间表,加快新能源车发展进程。加速向零排放汽车转型比亚迪表示,公司参与了加速向零排放汽车和货车转型的宣言,并签署了《零排放中、重型车辆全球谅解备忘录》,目标是在2030年之前实现零排放中、重型卡车的销售占比达到30%,2040年之前实现零排放中、重型卡车的销售占比达到100%,以促进2050年实现零碳排放。这意味着其将在2040年或之前停止生产燃油车,这也是比亚迪第一次明确乘用车和商用车的燃油车禁售时间表。"
7,如果让无涯君来推荐一部2021年的古装剧作，无涯君会毫不犹豫地选择正在热播的《斛珠夫人》。
8,11月16日，举世瞩目的中美元首会晤终于如期举行了，与此同时，世界发生了三件大事，值得大家关注。大家都知道，澳大利亚将在2022年5月份举行联邦大选，其现任总理莫里森的支持率却一直很低，特别是在搞砸了与美法的关系后，更是引起了国内民众及政府官员的不满。那么，今天要说的第一件事，也是与莫里森有关。
9,父母相见，抱头痛哭 杨瑞 摄父母相见，抱头痛哭 杨瑞 摄中新网襄阳11月16日电 (杨瑞 何瑾 胡传林)湖北襄阳一女子被拐26年后15日与家人团聚，让她没有想到的是，其苦苦寻找了多年的亲生父母就在同一个城市。当日下午4时许，在襄阳市襄州区公安局刑警大队，已近花甲之年的王先生夫妇终于见到了失散26年的女儿菲菲(化名)。岁月荏苒，当年4岁的小女孩已经长大成人，且结婚生子。久别重逢，王先生夫妇紧紧搂着女儿，老泪纵横，半天说不出话来。王先生家住襄阳市襄州区双沟镇东王岗村。1995年10月6日，妻子不在家，王先生临时要到襄阳火车站拉货，他只好把年仅4岁的菲菲托付给别人照看。但回来时，女儿已不见了。失散26年终团聚 杨瑞 摄20多年来，王先生和妻子想尽一切办法四处寻找，每一次都失望而归。他还给自己起了个网名叫“永远”，寓意永远不会放弃寻找女儿。2017年，王先生夫妇来到襄州区公安局刑侦大队采集血样，希望通过DAN比对获取女儿信息。与此同时，菲菲也在努力寻找自己的亲生父母。她介绍，当年与父母失散时虽然年龄很小，但已经有了记忆，依稀记得当时在火车站，突然被人抱走，之后辗转到了襄阳宜城市孔湾镇刘湾村，跟着养父母生活，结婚后跟丈夫住在襄阳市樊城区，没想到苦苦思念的亲生父母近在咫尺。多年来，她也在努力寻找自己的生父母。得知公安部门在开展团圆行动后，今年10月28日，她在丈夫的陪同下来到樊城区公安分局刑侦大队采集了血样。11月份，警方传来好消息，通过DAN比对，亲生父母找到了。目前，襄阳警方正在全力调查菲菲被拐案。(完)来源：中国新闻网
10,教育部体育卫生与艺术教育司司长王登峰13日在国务院联防联控机制新闻发布会上表示，今年9月份教育部发出通知，要求各地各校根据疫情防控的要求、属地的政策安排以及学校学习、课程进展情况及早谋划今年寒假安排。是否提前放寒假第一是要看疫情形势的发展，第二要根据属地对疫情防控措施各方面的要求。教育部根据各地各校的实际情况，鼓励所有的高校在属地管理的前提下按照属地相关要求结合校园防控要求以及课程进展、学习安排情况等，由各地各校统一进行自主决定，对于确需提前放假或者有的地方可能确需推迟放假，都应该理解和支持。广东多地公布中小学寒假时间
11,凤凰网《风暴眼》出品电视剧《人民的名义》中，京州市原副市长丁义珍潜逃到美国，却过着寄人篱下、猪狗不如的流浪生活，在餐厅做洗碗工，每天提心吊胆，还要四处躲藏、逃窜，甚至被黑社会威胁、殴打，最后到了穷途末路的境地。
12,家人帮忙介绍了男孩子认识两个月就被父母“逼婚”27岁的女孩莹莹抑郁了…树兰（杭州）医院精神卫生科副主任李旭娟副主任医师说。
13,在娱乐圈的知名人物之中，朱之文其实算是相当独特的一个了。他真的是凭借着一己之力，改变了整个家庭的命运。从一个面朝黄土的农民，突然间成为众人所崇拜的草根明星，大衣哥实现了逆袭。这样的发展，怎么能够不让外界称赞？
14,近日，陈建斌和梅婷的新剧发布预告，这是陈建斌和梅婷第一次出演情侣。陈建斌饰演的是一个图书出版集团总裁，在时代潮流的冲击下，还是坚守本心，为实体书店留下空间；而梅婷饰演的是一个为爱北漂的城乡教师，受到了男友的背叛。两人在人生的低谷相遇，并肩而行。
